word,meaning,example
album,n. 相簿；唱片集；集邮簿；签名纪念册,
regional,adj. 地区的；局部的；整个地区的,
stop,"vt. 停止；堵塞；断绝,vi. 停止；中止；逗留；被塞住,n. 停止；车站；障碍；逗留",
supplies,"n. 物资；供应品；贮备量（supply的复数）,v. 供应（supply的第三人称单数）；提供,n. (Supplies)人名；(德)祖普利斯",
started,"出发,起动",
administration,n. 管理；行政；实施；行政机构,
bar,"n. 条，棒；酒吧；障碍；法庭,vt. 禁止；阻拦,prep. 除……外,n. (Bar)人名；(阿拉伯、德、法、俄、罗、捷、波、葡、以)巴尔",
institute,"vt. 开始（调查）；制定；创立；提起（诉讼）,n. 学会，协会；学院",
views,"n. 见解；[计][建] 视图（view的复数）；景点；查看,v. 认为；观看（view的三单形式）",
plans,"n. 计划；[计划] 规划（plan的复数）,n. (Plans)人名；(西、罗)普兰斯",
double,"n. 两倍；双精度型,adj. 双重的；两倍的,vi. 加倍，加倍努力；快步走,vt. 使加倍,adv. 双重地；两倍地；弓身地,n. (Double)人名；(法)杜布勒；(英)道布尔",
dog,"n. 狗；丑女人；卑鄙的人；(俚)朋友,vt. 跟踪；尾随",
build,"vt. 建立；建筑,vi. 建筑；建造,n. 构造；体形；体格",
screen,"n. 屏，幕；屏风,vt. 筛；拍摄；放映；掩蔽,vi. 拍电影,n. (Screen)人名；(英)斯克林",
exchange,"n. 交换；交流；交易所；兑换,vt. 交换；交易；兑换,vi. 交换；交易；兑换",
types,"v. 打字（type的第三人称单数形式）,n. [心理] 类型（type的复数）",
soon,adv. 快；不久，一会儿；立刻；宁愿,
sponsored,"adj. 赞助的；发起的,v. 赞助（sponsor的过去分词）；发起",
lines,"n. 线；台词；航线（line的复数）,v. 排成一行；画线于（line的三单形式）,n. (Lines)人名；(英)莱恩斯",
electronic,"adj. 电子的,n. 电子电路；电子器件",
continue,"vi. 继续，延续；仍旧，连续,vt. 继续说…；使…继续；使…延长",
across,"prep. 穿过；横穿,adv. 横过；在对面",
benefits,n. 福利，效益（benefit的复数形式）；利益，收益,
needed,"adj. 需要的,v. 需要（need的过去式）",
season,"n. 时期；季节；赛季,vt. 给…调味；使适应,vi. 变得成熟；变干燥",
apply,"vt. 申请；涂，敷；应用,vi. 申请；涂，敷；适用；请求",
someone,pron. 有人，某人,
held,"v. 握住（hold的过去分词）；举起,抬起；使升高；展示；提出(作为榜样)(后与as连用),n. (Held)人名；(英、瑞典)赫尔德；(德、捷)黑尔德；(罗、匈、塞)海尔德",
anything,pron. 任何事,
printer,n. [计] 打印机；印刷工；印花工,
condition,"n. 条件；情况；环境；身份,vt. 决定；使适应；使健康；以…为条件",
effective,adj. 有效的，起作用的；实际的，实在的；给人深刻印象,
believe,"vi. 信任；料想；笃信宗教,vt. 相信；认为；信任",
organization,n. 组织；机构；体制；团体,
effect,"n. 影响；效果；作用,vt. 产生；达到目的",
asked,"n. 卖方要价,v. 问（ask的过去式）",
eur,"n. 欧元；欧洲，欧洲人,n. (Eur)人名；(柬)厄",
mind,"n. 理智，精神；意见；智力；记忆力,vt. 介意；专心于；照料,vi. 介意；注意",
sunday,n. 星期日；礼拜日,
selection,n. 选择，挑选；选集；精选品,
casino,"n. 俱乐部，赌场；娱乐场,n. (Casino)人名；(西、法)卡西诺",
lost,"adj. 失去的；丧失的；迷惑的,v. 遗失（lose的过去分词）；失败",
tour,"n. 旅游，旅行；巡回演出,vt. 旅行，在……旅游；在……作巡回演出,vi. 旅行，旅游；作巡回演出,n. (Tour)人名；(瑞典)托尔；(英)图尔",
menu,"n. 菜单,饭菜",
volume,"n. 量；体积；卷；音量；大量；册,adj. 大量的,vi. 成团卷起,vt. 把…收集成卷",
cross,"n. 交叉，十字；十字架，十字形物,vi. 交叉；杂交；横过,vt. 杂交；渡过；使相交,adj. 交叉的，相反的；乖戾的；生气的",
anyone,pron. 任何人；任何一个,
mortgage,"vt. 抵押,n. 抵押,房屋抵押贷款",
hope,"n. 希望；期望；信心,vt. 希望；期望,vi. 希望；期待；信赖,n. (Hope)人名；(印)霍普；(法)奥普；(西)奥佩",
silver,"n. 银；银器；银币；银质奖章；餐具；银灰色,adj. 银的；含银的；有银色光泽的；口才流利的；第二十五周年的婚姻,vi. 变成银色,vt. 镀银；使有银色光泽,n. (Silver)人名；(法)西尔韦；(英、德、芬、瑞典)西尔弗",
corporation,n. 公司；法人（团体）；社团；市政当局,
wish,"n. 希望；祝福；心愿,vt. 祝愿；渴望；向…致问候语,vi. 愿望；需要,n. (Wish)人名；(英)威什",
inside,"n. 里面；内部；内情；内脏,adj. 里面的；内部的；秘密的,adv. 在里面,prep. 少于；在…之内",
solution,n. 解决方案；溶液；溶解；解答,
mature,"adj. 成熟的；充分考虑的；到期的；成年人的,vi. 成熟；到期,vt. 使…成熟；使…长成；慎重作出",
role,"n. 角色；任务,n. (Role)人名；(意、塞、赤几)罗莱",
rather,"adv. 宁可，宁愿；相当,int. 当然啦（回答问题时用）,n. (Rather)人名；(英)拉瑟",
addition,n. 添加；[数] 加法；增加物,
came,v. come的过去式,
supply,"n. 供给，补给；供应品,vt. 供给，提供；补充,vi. 供给；替代",
nothing,"neg. 没什么；毫不,n. 无；零；不关紧要之事,adv. 毫不；决不,pron. 无事；无物,int. 什么也没有",
certain,"adj. 某一；必然的；确信；无疑的；有把握的,pron. 某些；某几个,n. (Certain)人名；(葡)塞尔塔因；(法)塞尔坦",
executive,"adj. 行政的；经营的；执行的，经营管理的,n. 总经理；执行委员会；执行者；经理主管人员",
running,"n. 运转；赛跑；流出,adj. 连续的；流动的；跑着的；运转着的,v. 跑；运转（run的ing形式）；行驶,n. (Running)人名；(英)朗宁",
lower,"vt. 减弱，减少；放下，降下；贬低,vi. 降低；减弱；跌落,adj. 下游的；下级的；下等的,n. (Lower)人名；(英、意)洛厄",
necessary,"adj. 必要的；必需的；必然的,n. 必需品,n. (Necessary)人名；(英)内塞瑟里",
union,n. 联盟，协会；工会；联合,
jewelry,n. 珠宝；珠宝类,
according,"adj. 相符的；一致的；相应的；和谐的；调和的,adv. 依照；根据；按照,v. 给予( accord的现在分词 )；使和谐一致；使符合；使适合",
dc,abbr. 直流电（direct current）；哥伦比亚特区（District of Columbia）；从头重复（da capo）,
clothing,"n. （总称）[服装] 服装；帆装,v. 覆盖（clothe的ing形式）；给…穿衣",
particular,"adj. 特别的；详细的；独有的；挑剔的,n. 详细说明；个别项目",
fine,"adj. 好的；优良的；细小的，精美的；健康的；晴朗的,n. 罚款,vt. 罚款；澄清,adv. 很好地；精巧地,n. (Fine)人名；(意)菲内；(英)法恩",
robert,n. 罗伯特（男子名）,
homepage,n. 主页,
hour,"n. 小时；钟头；课时；…点钟,n. (Hour)人名；(法)乌尔；(柬)胡",
gas,"n. 气体；[矿业] 瓦斯；汽油；毒气,vt. 加油；毒（死）,vi. 加油；放出气体；空谈,n. (Gas)人名；(法、德、西)加斯",
skills,n. 技能；技巧（skill的复数形式）；技术,
six,"num. 六，六个,n. 六，六个,n. (Six)人名；(法、德)西克斯",
bush,"n. 灌木；矮树丛,vt. 以灌木装饰；使…精疲力竭,vi. 丛生；浓密地生长,adj. 如灌木般长得低矮的；粗野的",
islands,n. 群岛（island的复数）；岛屿,
advice,n. 建议；忠告；劝告；通知,
career,"n. 生涯；职业；事业；速度，全速,adj. 作为毕生职业的,vi. 全速前进，猛冲",
military,"adj. 军事的；军人的；适于战争的,n. 军队；军人",
rental,"n. 租金收入，租金；租赁,adj. 租赁的；收取租金的",
decision,n. 决定，决心；决议,
leave,"vt. 离开；留下；遗忘；委托,vi. 离开，出发；留下,n. 许可，同意；休假",
british,"adj. 英国的；英国人的；大不列颠的,n. 英国人",
teens,n. 十多岁，十几岁；青少年,
huge,"adj. 巨大的；庞大的；无限的,n. (Huge)人名；(英)休奇",
sat,"v. 坐（sit的过去式，过去分词）,n. (Sat)人名；(中)萨(广东话·威妥玛)；(柬)萨；(印)萨特",
woman,n. 妇女；女性；成年女子,
facilities,n. 设施；工具，设备,
zip,"n. 拉链；活力，精力；尖啸声，撕裂声；一种程序压缩的档案文件格式,n. (Zip)兹普（人名）,vi. 拉开或拉上；以尖啸声行进,vt. 给...以速度；拉上或拉开拉链",
bid,"vt. 投标；出价；表示；吩咐,vi. 投标；吩咐,n. 出价；叫牌；努力争取,n. (Bid)人名；(俄)比德",
kind,"n. 种类；性质,adj. 和蔼的；宽容的；令人感激的,n. (Kind)人名；(德、俄、法、捷)金德；(瑞典)欣德",
middle,"adj. 中间的，中部的；中级的，中等的,n. 中间，中央；腰部",
move,"n. 移动；步骤；迁居；策略,vi. 移动；搬家，迁移；离开,vt. 移动；感动",
cable,"n. 缆绳；电缆；海底电报,vt. 打电报,vi. 打海底电报",
opportunities,n. 因素；机会；[数] 机遇,
taking,"n. 取得；捕获；营业收入,adj. 可爱的；迷人的；会传染的,v. 拿；捕捉；夺取（take的ing形式）",
values,n. 价值观念；价值标准,
division,n. [数] 除法；部门；分配；分割；师（军队）；赛区,
coming,"adj. 即将到来的；接着的；前途有望的,n. 来到；到达,v. 来（come的ing形式）",
tuesday,n. 星期二,
object,"n. 目标；物体；客体；宾语,vt. 提出…作为反对的理由,vi. 反对；拒绝",
lesbian,"adj. [心理] 女同性恋的,n. 女同性恋者",
appropriate,"adj. 适当的；恰当的；合适的,vt. 占用，拨出",
machine,"n. 机械，机器；机构；机械般工作的人,vt. 用机器制造,n. (Machine)人名；(意)马基内",
logo,"n. 商标，徽标；标识语,n. (Logo)人名；(英、塞)洛戈",
length,n. 长度，长；时间的长短；（语）音长,
actually,adv. 实际上；事实上,
nice,"adj. 精密的；美好的；细微的；和蔼的,n. (Nice)人名；(英)尼斯",
score,"n. 分数；二十；配乐；刻痕,vt. 获得；评价；划线，刻划；把…记下,vi. 得分；记分；刻痕,n. (Score)人名；(英)斯科尔",
statistics,n. 统计；统计学；[统计] 统计资料,
client,n. [经] 客户；顾客；委托人,
returns,"n. 回报；收益；[贸易] 退货（return的复数）,v. 返回；回复；归还（return的单三形式）",
capital,"n. 首都，省会；资金；大写字母；资本家,adj. 首都的；重要的；大写的,n. (Capital)人名；(法)卡皮塔尔",
follow,"vt. 跟随；遵循；追求；密切注意，注视；注意；倾听,vi. 跟随；接着,n. 跟随；追随",
sample,"vt. 取样；尝试；抽样检查,n. 样品；样本；例子,adj. 试样的，样品的；作为例子的,n. (Sample)人名；(英)桑普尔",
investment,n. 投资；投入；封锁,
sent,"v. 送，寄出（send的过去分词）,n. (Sent)人名；(德)森特",
shown,v. 解释（show的过去分词）；给予；表露,
saturday,n. 星期六,
christmas,"n. 圣诞节,圣诞节期间",
england,n. 英格兰；英国,
culture,"n. 文化，文明；修养；栽培,vt. [细胞][微] 培养（等于cultivate）",
band,"n. 带，环；[物] 波段；(演奏流行音乐的) 乐队,vi. 用带绑扎；给...镶边,n. n.乐队；队；一群",
flash,"vt. 使闪光；反射,n. 闪光，闪现；一瞬间,vi. 闪光，闪现；反射,adj. 闪光的，火速的,n. (Flash)人名；(西)弗拉什",
ms,abbr. 毫秒（millisecond）；手稿（manuscript）；女士（Ms.）；蒙塞拉特岛（Montserrat）；微软公司（Microsoft）；军标（Military Standard）,
lead,"n. 领导；铅；导线；榜样,vt. 领导；致使；引导；指挥,vi. 领导；导致；用水砣测深,adj. 带头的；最重要的,n. (Lead)人名；(英)利德",
george,n. 乔治（男子名）；自动操纵装置；英国最高勋爵勋章上的圣乔治诛龙图,
choice,"n. 选择；选择权；精选品,adj. 精选的；仔细推敲的",
went,"v. 去，过去（go的过去式）,n. (Went)人名；(德、匈、荷)文特；(英)温特",
starting,"n. 开始；出发,v. 开始（start的ing形式）",
registration,n. 登记；注册；挂号,
thursday,n. 星期四,
courses,"n. 课程；路线（course的复数）,n. (Courses)人名；(法)库尔斯",
consumer,n. 消费者；用户，顾客,
hi,"int. 嗨！（表示问候或用以唤起注意）,n. (Hi)人名；(柬)希",
airport,n. 机场；航空站,
foreign,adj. 外国的；外交的；异质的；不相关的,
artist,n. 艺术家；美术家（尤指画家）；大师,
outside,"adj. 外面的，外部的；外来的,n. 外部；外观,adv. 在外面，向外面；在室外,prep. 在…范围之外",
furniture,n. 家具；设备；储藏物,
levels,"n. 水平，标准（level复数形式）；色阶调整；控制色阶,v. 拉平，变平（level的第三人称单数形式）",
channel,"vt. 引导，开导；形成河道,n. 通道；频道；沟渠；海峡",
letter,"n. 信；字母，文字；证书；文学，学问；字面意义,vt. 写字母于,vi. 写印刷体字母,n. (Letter)人名；(英)莱特",
mode,"n. 模式；方式；风格；时尚,n. (Mode)人名；(德、英、法、乍、瑞典)莫德",
wednesday,n. 星期三,
structure,"n. 结构；构造；建筑物,vt. 组织；构成；建造",
fund,"n. 基金；资金；存款,vt. 投资；资助,n. (Fund)人名；(德)丰德",
summer,"n. 夏季；全盛时期,vi. 避暑；过夏天,adj. 夏季的,n. (Summer)人名；(德)祖默；(英)萨默",
allow,"vt. 允许；给予；认可,vi. 容许；考虑",
degree,n. 程度，等级；度；学位；阶层,
contract,"vi. 收缩；感染；订约,vt. 感染；订约；使缩短,n. 合同；婚约",
button,"n. 按钮；纽扣,vt. 扣住；扣紧；在…上装纽扣,vi. 扣住；装有纽扣；扣上纽扣,n. (Button)人名；(英)巴顿",
releases,"n. 释放；豁免；发泄（release的复数形式）,vt. 释放；松散；豁免；减轻痛苦（release的第三人称单数形式）",
wed,"vt. 与...结婚；娶；嫁,vi. 结婚；娶；嫁",
super,"adj. 特级的；极好的,n. 特级品，特大号；临时雇员,n. (Super)人名；(英)休珀",
male,"adj. 男性的；雄性的；有力的,n. 男人；雄性动物,n. (Male)人名；(柬)马尔；(意、西、塞)马莱；(英)梅尔",
matter,"n. 物质；事件,vi. 有关系；要紧,n. (Matter)人名；(英、法)马特；(西)马特尔",
custom,"n. 习惯，惯例；风俗；海关，关税；经常光顾；[总称]（经常性的）顾客,adj. （衣服等）定做的，定制的",
virginia,"n. 弗吉尼亚（女子名）；弗吉尼亚州,adj. 弗吉尼亚州的",
almost,adv. 差不多，几乎,
took,v. 拿；取；接受（take的过去式）,
located,adj. 处于，位于；坐落的,
multiple,"adj. 多重的；多样的；许多的,n. 倍数；[电] 并联",
distribution,n. 分布；分配；供应,
editor,n. 编者，编辑；社论撰写人；编辑装置,
inn,"n. 客栈；旅馆,vi. 住旅馆,n. (Inn)人名；(柬)因",
industrial,"adj. 工业的，产业的；从事工业的；供工业用的；来自勤劳的,n. 工业股票；工业工人",
cause,"n. 原因；事业；目标,vt. 引起；使遭受",
potential,"n. 潜能；可能性；[电] 电势,adj. 潜在的；可能的；势的",
song,"n. 歌曲；歌唱；诗歌；鸣声,n. (Song)人名；(泰)颂；(柬)松；(英)桑；(老)宋；(越)双；(东南亚国家华语)松",
los,"abbr. 视线（Line of Sight）；月球轨道航天器（Lunar Orbiter Spacecraft）,n. (Los)人名；(匈)洛什；(俄、西、瑞典、塞、英)洛斯",
focus,"n. 焦点；中心；清晰；焦距,vt. 使集中；使聚焦,vi. 集中；聚焦；调节焦距,n. (Focus)人名；(瑞典)福库斯",
late,"adj. 晚的；迟的；已故的；最近的,adv. 晚；迟；最近；在晚期",
fall,"vi. 落下；变成；来临；减弱,n. 下降；秋天；瀑布,vt. 砍倒；击倒,adj. 秋天的,n. (Fall)人名；(法、芬、瑞典)法尔；(英、匈)福尔；(阿拉伯)法勒",
featured,"adj. 特定的；被作为特色的；有…的面貌特征的,v. 使…有特色；起重要作用（feature的过去分词）",
idea,n. 想法；主意；概念,
female,"adj. 女性的；雌性的；柔弱的，柔和的,n. 女人；[动] 雌性动物",
responsible,adj. 负责的，可靠的；有责任的,
communications,n. [通信] 通信；沟通；通讯系统；交通设施（communication的复数形式）,
win,"vt. 赢得；在…中获胜,vi. 赢；获胜；成功,n. 赢；胜利,n. (Win)人名；(德、荷、缅)温；(英)温(女子教名Winifred的昵称)",
associated,"adj. 关联的；联合的,v. 联系（associate的过去式和过去分词）",
thomas,n. 托马斯（男子名）；多马（耶稣十二门徒之一）,
primary,"adj. 主要的；初级的；基本的,n. 原色；最主要者",
cancer,n. 癌症；恶性肿瘤,
reason,"n. 理由；理性；动机,vi. 推论；劝说,vt. 说服；推论；辩论,n. (Reason)人名；(英)里森",
tool,"n. 工具，用具；器械，机床；手段,vi. 使用工具；用机床装备工厂,vt. 用工具给……加工",
browser,n. [计] 浏览器；吃嫩叶的动物；浏览书本的人,
spring,"n. 春天；弹簧；泉水；活力；跳跃,adj. 春天的,vi. 生长；涌出；跃出；裂开,vt. 使跳起；使爆炸；突然提出；使弹开,n. (Spring)人名；(德)施普林；(英、芬、瑞典)斯普林",
foundation,n. 基础；地基；基金会；根据；创立,
answer,"vt. 回答；符合,vi. 回答；符合,n. 回答；答案；答辩",
voice,"n. 声音；嗓音；发言权；愿望,vt. 表达；吐露",
friendly,"adj. 友好的；亲切的；支持的；融洽的，和睦的,adv. 友善地；温和地,n. (Friendly)人名；(英)弗兰德利",
schedule,"vt. 安排，计划；编制目录；将……列入计划表,n. 时间表；计划表；一览表",
documents,"n. [计] 文档（document的复数形式）,v. 记载（document的第三人称单数形式）",
communication,n. 通讯，[通信] 通信；交流；信函,
purpose,"n. 目的；用途；意志,vt. 决心；企图；打算",
feature,"n. 特色，特征；容貌；特写或专题节目,vi. 起重要作用,vt. 特写；以…为特色；由…主演",
bed,"n. 床；基础；河底， 海底,vt. 使睡觉；安置，嵌入；栽种,vi. 上床；分层",
comes,"v. 来自；从…来（come的三单形式）,n. 伴引血管；伴星,n. (Comes)人名；(法)科姆；(德、西、意)科梅斯",
police,"n. 警察，警方；治安,vt. 监督；管辖；维持治安；为…配备警察,adj. 警察的；有关警察的",
everyone,"pron. 每个人；人人,n. 每个人",
independent,"adj. 独立的；单独的；无党派的；不受约束的,n. 独立自主者；无党派者",
approach,"n. 方法；途径；接近,vt. 接近；着手处理,vi. 靠近",
brown,"adj. 棕色的，褐色的；太阳晒黑的,vi. 变成褐色,n. 褐色，棕色,vt. 使变成褐色,n. (Brown)人名；(英、意、芬、捷、德、法、西、葡)布朗",
physical,"adj. [物] 物理的；身体的；物质的；根据自然规律的，符合自然法则的,n. 体格检查",
operating,"adj. 操作的；[外科] 外科手术的,v. 操作（operate的ing形式）；动手术",
hill,"n. 小山；丘陵；斜坡；山冈,n. (Hill)人名；(法、西)伊尔；(德、英、匈、捷、罗、芬、瑞典)希尔",
medicine,"n. 药；医学；内科；巫术,vt. 用药物治疗；给…用药",
deal,"vt. 处理；给予；分配；发牌,vi. 处理；讨论；对待；做生意,n. 交易；（美）政策；待遇；份量,n. (Deal)人名；(英、西)迪尔",
hold,"vt. 持有；拥有；保存；拘留；约束或控制,vi. 支持；有效；持续,n. 控制；保留,n. (Hold)人名；(英、德、捷)霍尔德,又作“Hold住”使用，中英混用词汇，表示轻松掌控全局。,[ 过去式 held 过去分词 held或holden 现在分词 holding ]",
glass,"n. 玻璃；玻璃制品；镜子,vt. 反映；给某物加玻璃,vi. 成玻璃状,n. (Glass)人名；(英、法、德、意)格拉斯",
happy,"adj. 幸福的；高兴的；巧妙的,n. (Happy)人名；(英、瑞典、喀)哈皮",
smith,"n. 铁匠；锻工；制作者,vt. 锻制,vi. 锻打金属；当锻工",
wanted,"adj. 受通缉的；被征求的,v. 缺少( want的过去式和过去分词 )；应该；打算；需要…在场",
developed,adj. 发达的（国家或地区）；成熟的,
thank,"vt. 感谢,n. 感谢,int. 谢谢",
safe,"adj. 安全的；可靠的；平安的,n. 保险箱；冷藏室；纱橱,n. (Safe)人名；(几)萨菲",
unique,"adj. 独特的，稀罕的；[数] 唯一的，独一无二的,n. 独一无二的人或物,n. (Unique)人名；(英)尤妮克",
survey,"n. 调查；测量；审视；纵览,vt. 调查；勘测；俯瞰,vi. 测量土地",
prior,"adj. 优先的；在先的，在前的,n. 小修道院院长；大修道院的副院长; （隐修院）会长; 犯罪前科,n. (Prior)人名；(法、西、葡、捷)普里奥尔；(英)普赖尔；(意)普廖尔",
telephone,"n. （美）电话；电话机；电话耳机,vi. 打电话,vt. 打电话给…",
sport,"n. 运动；游戏；娱乐；运动会；玩笑,vi. 游戏,vt. 游戏；参加体育运动；夸耀,adj. 运动的",
ready,"adj. 准备好；现成的；迅速的；情愿的；快要…的,n. 现款；预备好的状态,adv. 迅速地；预先,vt. 使准备好,n. (Ready)人名；(英)雷迪",
feed,"vt. 喂养；供给；放牧；抚养（家庭等）；靠…为生,vi. 吃东西；流入,n. 饲料；饲养；（动物或婴儿的）一餐",
animal,"n. 动物,动物的",
sources,"n. 来源（source的复数）；输入源；发起者,v. 寻求（source的第三人称单数）；起源；发起",
mexico,n. 墨西哥,
population,n. 人口；[生物] 种群，[生物] 群体；全体居民,
pa,"n. 爸爸（口语）,n. (Pa)人名；(中)巴(普通话·威妥玛)；(柬、缅)巴",
regular,"adj. 定期的；有规律的；合格的；整齐的；普通的,n. 常客；正式队员；中坚分子,adv. 定期地；经常地,n. (Regular)人名；(以)雷古拉尔",
secure,"adj. 安全的；无虑的；有把握的；稳当的,vt. 保护；弄到；招致；缚住,vi. 获得安全；船抛锚；停止工作",
navigation,n. 航行；航海,
operations,n. 运营；运作；业务操作（operation的复数）,
therefore,adv. 因此；所以,
ass,"n. 屁股；驴子；蠢人,n. (Ass)人名；(俄)阿斯",
simply,adv. 简单地；仅仅；简直；朴素地；坦白地,
evidence,"n. 证据，证明；迹象；明显,vt. 证明",
station,"n. 车站；驻地；地位；身份,vt. 配置；安置；驻扎",
christian,"n. 基督徒，信徒,adj. 基督教的；信基督教的",
round,"n. 圆；循环；一回合；圆形物,adj. 圆的；完全的；大概的；肥胖的,adv. 在周围；迂回地；朝反方向；挨个,vt. 完成；围捕；绕行；弄圆,vi. 进展；变圆；环行；发胖,prep. 附近；绕过；大约；在…周围,n. (Round)人名；(英)朗德",
favorite,"n. 幸运儿；喜欢的事物；特别喜欢的人,adj. 最喜爱的；中意的；宠爱的,n. (Favorite)人名；(英)费沃里特",
understand,"vt. 理解；懂；获悉；推断；省略；明白,vi. 理解；懂得；熟悉",
option,n. [计] 选项；选择权；买卖的特权,
master,"vt. 控制；精通；征服,n. 硕士；主人；大师；教师,adj. 主人的；主要的；熟练的,n. (Master)人名；(英)马斯特",
valley,"n. 山谷；流域；溪谷,n. (Valley)人名；(英)瓦利；(法)瓦莱",
recently,adv. 最近；新近,
probably,adv. 大概；或许；很可能,
sea,n. 海；海洋；许多；大量,
built,"v. 建造（build的过去分词）,adj. 身段优美的；…建成的",
publications,n. 出版物（publication的复数）,
blood,"n. 血，血液；血统,vt. 从…抽血；使先取得经验,n. (Blood)人名；(英、西)布拉德",
cut,"n. 伤口；切口；削减；（服装等的）式样；削球；切入,vt. [机] 切割；削减；缩短；刺痛,vi. [机] 切割；相交；切牌；停拍；不出席,adj. 割下的；雕过的；缩减的",
worldwide,"adj. 全世界的,adv. 在世界各地",
improve,"vt. 改善，增进；提高…的价值,vi. 增加；变得更好",
connection,n. 连接；关系；人脉；连接件,
publisher,n. 出版者，出版商；发行人,
hall,"n. 过道，门厅，走廊；会堂；食堂；学生宿舍；大厅，前厅；娱乐中心，会所,n. （土）哈勒（人名）；（德、波、丹、芬、瑞典）哈尔（人名）；（英）霍尔（人名）；（法）阿尔（人名）",
larger,adj. 大的；多量的；大的( large的比较级 )；大规模的；众多的；（服装、食物、日用品等）大型号的,
anti,"adj. 反对的,n. 反对者，反对论者,n. (Anti)人名；(意)安蒂；(阿拉伯)安提",
earth,"n. 地球；地表，陆地；土地，土壤；尘事，俗事；兽穴,vt. 把（电线）[电] 接地；盖（土）；追赶入洞穴,vi. 躲进地洞",
parents,"n. 父母；双亲（parent的复数）,v. 教养；引起（parent的三单形式）,n. (Parents)人名；(法)帕朗",
impact,"n. 影响；效果；碰撞；冲击力,vt. 挤入，压紧；撞击；对…产生影响,vi. 影响；撞击；冲突；压紧（on，upon，with）",
transfer,"n. 转让；转移；传递；过户,vi. 转让；转学；换车,vt. 使转移；调任",
introduction,n. 介绍；引进；采用；入门；传入,
kitchen,"n. 厨房；炊具；炊事人员,n. (Kitchen)人名；(英)基钦",
strong,"adj. 坚强的；强壮的；牢固的；擅长的,adv. 强劲地；猛烈地,n. (Strong)人名；(英)斯特朗",
carolina,n. 卡罗莱纳州（在美国东南部）,
wedding,"n. 婚礼，婚宴；结婚；结合,v. 与…结婚（wed的ing形式）,n. (Wedding)人名；(德)韦丁",
properties,n. 性能；道具，内容（property的复数形式）,
hospital,"n. 医院,n. (Hospital)人名；(英)霍斯皮特尔",
ground,"n. 地面；土地；范围；战场;根据,vt. 使接触地面；打基础；使搁浅,vi. 着陆；搁浅,adj. 土地的；地面上的；磨碎的；磨过的,v. 研磨（grind的过去分词）；压迫",
overview,n. [图情] 综述；概观,
ship,"vt. 运送，乘船；以船运送,vi. 上船；乘船旅行；当船员,n. 船；舰；太空船,n. (Ship)人名；(中)摄(广东话·威妥玛)",
accommodation,n. 住处，膳宿；调节；和解；预订铺位,
owners,n. [工经] 业主（owner的复数）；[经] 所有者,
disease,"n. 病，[医] 疾病；弊病,vt. 传染；使…有病",
excellent,adj. 卓越的；极好的；杰出的,
paid,"adj. 付清的；已付的,vt. 支付（pay的过去式和过去分词）；付清",
italy,n. 意大利（欧洲南部国家）,
perfect,"adj. 完美的；最好的；精通的,vt. 使完美；使熟练,n. 完成式,n. (Perfect)人名；(英)珀费克特",
hair,"n. 头发；毛发；些微,vt. 除去…的毛发,vi. 生长毛发；形成毛状纤维,adj. 毛发的；护理毛发的；用毛发制成的",
opportunity,n. 时机，机会,
kit,"n. 工具箱；成套工具,vt. 装备,vi. 装备,n. (Kit)人名；(俄)基特；(东南亚国家华语)吉；(英)基特，姬特(女名)(教名 Christopher、Katherine 的昵称)",
classic,"adj. 经典的；古典的，传统的；最优秀的,n. 名著；经典著作；大艺术家",
basis,n. 基础；底部；主要成分；基本原则或原理,
command,"vi. 命令，指挥；控制,vt. 命令，指挥；控制；远望,n. 指挥，控制；命令；司令部,n. (Command)人名；(法)科芒",
cities,n. 城市（city的复数）,
william,n. 威廉（男子名）；钞票，纸币,
express,"vt. 表达；快递,adj. 明确的；迅速的；专门的,n. 快车，快递，专使；捷运公司",
anal,"adj. [解剖] 肛门的，直肠的；肛门附近的,n. (Anal)人名；(土)阿纳尔",
award,"vt. 授予；判定,n. 奖品；判决",
distance,"n. 距离；远方；疏远；间隔,vt. 疏远；把…远远甩在后面",
tree,"n. 树；木料；树状物,vt. 把...赶上树,vi. 爬上树；逃上树,n. (Tree)人名；(英)特里",
peter,"vt. 逐渐消失；耗尽,vi. 使…精疲力竭,n. 麻醉品；保险箱,n. 彼得(男子名)",
assessment,n. 评定；估价,
ensure,vt. 保证，确保；使安全,
thus,"adv. 因此；从而；这样；如此,conj. 因此",
wall,"n. 墙壁，围墙；似墙之物,vt. 用墙围住，围以墙,adj. 墙壁的,n. (Wall)人名；(英)沃尔；(德、芬、捷、瑞典)瓦尔",
involved,"adj. 有关的；卷入的；复杂的,v. 涉及；使参与；包含（involve的过去式和过去分词）",
extra,"adv. 特别地，非常；另外,n. 临时演员；号外；额外的事物；上等产品,adj. 额外的，另外收费的；特大的",
especially,adv. 特别；尤其；格外,
interface,"n. 界面；<计>接口；交界面,v. （使通过界面或接口）接合，连接；[计算机]使联系,vi. 相互作用（或影响）；交流，交谈",
pussy,"n. 猫咪；阴门,adj. 多脓的",
partners,"n. 伙伴（partner的复数形式）；合作伙伴；[法] 合伙人,v. 合伙；成为搭档（partner的第三人称单数）",
budget,"n. 预算，预算费,vt. 安排，预定；把…编入预算,vi. 编预算，做预算,adj. 廉价的",
rated,"adj. 额定的,v. 认为（rate的过去分词）；估价",
